state,n_counties,features_100pct,features_90pct,features_75pct,features_50pct,features_high_coverage_90plus
11,1,65,0,0,0,65
09,8,51,0,6,7,51
15,4,50,0,6,23,50
44,5,48,0,1,6,48
33,10,41,4,1,7,45
24,24,37,9,10,10,46
25,14,30,8,6,10,38
10,3,28,0,0,28,28
20,21,28,25,16,14,53
18,92,25,16,7,2,41
50,14,24,1,0,0,25
05,75,22,17,6,13,39
56,19,20,23,9,13,43
04,15,18,6,9,14,24
34,21,17,4,2,1,21
47,95,14,43,14,6,57
32,16,13,0,6,13,13
39,88,11,16,11,17,27
40,77,10,27,22,10,37
36,62,8,29,25,8,37
01,62,8,23,1,9,31
30,33,8,24,35,14,32
12,68,8,16,17,15,24
13,159,7,23,10,18,30
41,36,6,8,8,23,14
06,58,6,8,7,21,14
55,72,6,0,0,0,6
53,36,6,7,22,24,13
31,91,6,27,17,15,33
49,20,6,0,4,3,6
35,26,6,0,0,1,6
19,99,6,20,19,10,26
37,100,6,12,13,17,18
46,21,6,0,1,3,6
45,45,6,2,2,9,8
16,44,6,0,12,8,6
08,64,5,6,21,19,11
26,75,5,1,0,1,6
27,87,5,1,1,18,6
38,53,5,0,0,1,5
21,116,5,2,19,21,7
22,61,5,1,0,1,6
17,93,4,2,2,2,6
29,95,4,2,4,11,6
42,67,0,6,1,21,6
48,222,0,9,7,13,9
23,16,0,25,16,10,25
51,128,0,6,13,21,6
02,17,0,0,6,0,0
54,53,0,21,26,16,21
28,57,0,9,17,28,9
78,3,0,0,0,38,0
