quantile,expected_coverage,observed_coverage,absolute_error,n_predictions
0.1,0.1,0.10760598503740648,0.007605985037406476,24060
0.2,0.2,0.20935162094763093,0.009351620947630923,24060
0.3,0.3,0.3081463009143807,0.008146300914380733,24060
0.4,0.4,0.4086450540315877,0.008645054031587662,24060
0.5,0.5,0.5119700748129676,0.011970074812967635,24060
0.6,0.6,0.6099750623441397,0.009975062344139696,24060
0.7,0.7,0.7050706566916043,0.005070656691604336,24060
0.8,0.8,0.7949293433083957,0.005070656691604336,24060
0.9,0.9,0.8859933499584373,0.014006650041562763,24060
