fips,bucket,own_train_size,test_size,model,context,mape,r2,mae,rmse
28115,tiny,26,7,TabPFN (zero-shot),Normal,49.29946471688367,0.30956311445855,69037.44862344247,96750.21666094079
28115,tiny,26,7,TabPFN (globally finetuned),Normal,100.46589155495398,-0.08837149132346678,102267.77563237106,121472.65741981598
28115,tiny,26,7,TabPFN (zero-shot),Shuffled-y,90.50576676040116,-0.025160184567243782,101569.90063237106,117892.40275814699
28115,tiny,26,7,TabPFN (globally finetuned),Shuffled-y,108.35867610329804,-0.06983011810297945,102643.6327752282,120433.51552917842
28115,tiny,26,7,TabPFN (zero-shot),Minimal (2),6.561724732698686,-0.43022904009364993,22177.832429012906,23375.59145009141
28115,tiny,26,7,TabPFN (globally finetuned),Minimal (2),78.97074812161513,-182.01810511087143,263630.19236396876,264427.6342509677
48045,tiny,24,6,TabPFN (zero-shot),Normal,28.336169368013874,0.18123876201745748,38387.941692708315,48642.66574492617
48045,tiny,24,6,TabPFN (globally finetuned),Normal,48.073498477420884,0.07050529532673722,50497.90270833336,51827.73032792114
48045,tiny,24,6,TabPFN (zero-shot),Shuffled-y,37.36754636784208,-0.6522347327246565,54480.612916666665,69099.45215546626
48045,tiny,24,6,TabPFN (globally finetuned),Shuffled-y,54.43582586801482,-0.22268694708001635,56873.52250000002,59442.404446696826
48045,tiny,24,6,TabPFN (zero-shot),Minimal (2),13.424875363161739,0.0,8887.342889864929,8996.108310134166
48045,tiny,24,6,TabPFN (globally finetuned),Minimal (2),15.130531918463161,0.0,10016.497109121643,18501.436196329174
48229,tiny,30,8,TabPFN (zero-shot),Normal,140.80311821965591,-0.8256741857937755,123474.34010222033,154191.74042534566
48229,tiny,30,8,TabPFN (globally finetuned),Normal,262.8647879679336,-0.09372284028255251,105038.11036589221,119344.69361963306
48229,tiny,30,8,TabPFN (zero-shot),Shuffled-y,89.85850089517126,-0.5695759846985013,110541.74464323596,142968.59382436518
48229,tiny,30,8,TabPFN (globally finetuned),Shuffled-y,270.1055499255327,-0.23504859227046482,112804.2802877672,126821.0941032622
48229,tiny,30,8,TabPFN (zero-shot),Minimal (2),51.234625610782444,-3.861811890966612,22735.794145978485,25054.484608168405
48229,tiny,30,8,TabPFN (globally finetuned),Minimal (2),199.90141401761005,-38.33385393582681,69695.96903761527,71263.91018160121
27107,medium,292,73,TabPFN (zero-shot),Normal,48.719212741329414,0.2697560974926324,48279.520670913706,71060.99531592507
27107,medium,292,73,TabPFN (globally finetuned),Normal,238.0543446873991,-0.6141489596056073,97304.30283058835,105649.90764427454
27107,medium,292,73,TabPFN (zero-shot),Shuffled-y,84.0516648590761,-0.422482015087142,71378.94035199247,99179.22459632537
27107,medium,292,73,TabPFN (globally finetuned),Shuffled-y,238.09826428094107,-0.5309311937120276,92947.3214521637,102890.47035436894
27107,medium,292,73,TabPFN (zero-shot),Minimal (2),25.37104712651838,-1.0944705464933513,21765.679462083557,25916.81444051552
27107,medium,292,73,TabPFN (globally finetuned),Minimal (2),94.71770583613555,-13.807684007753767,64250.9300265637,68910.92183368167
28101,medium,243,61,TabPFN (zero-shot),Normal,23.03036819781828,0.8074545999801235,26759.127817622943,36170.3383612587
28101,medium,243,61,TabPFN (globally finetuned),Normal,24.777416494656755,0.835879834546817,26539.27324538933,33393.88680456539
28101,medium,243,61,TabPFN (zero-shot),Shuffled-y,65.8764795154406,-0.2370418985746836,68634.20043545082,91680.75948774486
28101,medium,243,61,TabPFN (globally finetuned),Shuffled-y,67.96807268524854,-0.33378253035864636,70987.19172643442,95198.15028333636
28101,medium,243,61,TabPFN (zero-shot),Minimal (2),20.333793937508577,-0.00803078503312138,29459.123259078635,33429.67828678219
28101,medium,243,61,TabPFN (globally finetuned),Minimal (2),38.598603459729446,-3.2435701003582045,59058.7557270391,68590.02951565421
13099,medium,392,98,TabPFN (zero-shot),Normal,73.97260033192879,0.6872990426814147,45007.51587407745,64582.40435890814
13099,medium,392,98,TabPFN (globally finetuned),Normal,63.38312184383472,0.6562170179501767,46190.4017557739,67716.0771750774
13099,medium,392,98,TabPFN (zero-shot),Shuffled-y,160.0079930288034,-0.1460492657225838,81272.71419598434,123637.79402700037
13099,medium,392,98,TabPFN (globally finetuned),Shuffled-y,212.0197740154322,-0.446974545353199,100341.43336451115,138924.88619160224
13099,medium,392,98,TabPFN (zero-shot),Minimal (2),50.50562596306711,-1.472871274958551,46768.90704383546,53978.92075635644
13099,medium,392,98,TabPFN (globally finetuned),Minimal (2),90.8012137046417,-1.0095008200764068,35097.58917985937,48659.48813050992
