fips,rows,source
48393,13,small_county
32011,47,small_county
48079,27,small_county
48087,41,small_county
30075,14,small_county
29199,32,small_county
28021,6,small_county
30069,7,small_county
8061,36,small_county
1011,44,small_county
21237,35,small_county
28125,40,small_county
54101,25,small_county
28139,5,small_county
48235,25,small_county
2016,17,small_county
49001,29,small_county
48247,50,small_county
13101,46,small_county
28129,23,small_county
48229,20,small_county
48435,44,small_county
28061,35,small_county
30051,23,small_county
48137,20,small_county
16033,11,small_county
30039,40,small_county
48155,12,small_county
8033,30,small_county
54089,44,small_county
13007,47,small_county
48447,26,small_county
48045,16,small_county
28111,32,small_county
48359,38,small_county
2100,44,small_county
31015,45,small_county
31165,21,small_county
29017,14,small_county
17069,29,small_county
48311,9,small_county
28163,9,small_county
2232,21,small_county
30055,23,small_county
48169,50,small_county
28065,12,small_county
25007,28,small_county
54047,46,small_county
28053,9,small_county
46021,12,small_county
24045,1654,other_county
19037,166,other_county
47019,1050,other_county
27027,1048,other_county
40029,56,other_county
36031,573,other_county
29205,56,other_county
31049,49,other_county
47141,1603,other_county
26021,2373,other_county
