feature,n_counties,coverage_pct
Unnamed: 0,2667,100.0
ASSESSED_YEAR,2667,100.0
MARKET_TOTAL_VALUE,2667,100.0
char_beds_miss,2667,100.0
char_air_miss,2667,100.0
char_air_cat,2667,100.0
char_yrblt_miss,2667,100.0
char_air_central,2667,100.0
char_stories_miss,2667,100.0
char_base_unfin_sf_miss,2667,100.0
char_base_fin_sf_miss,2667,100.0
char_bldg_sf_miss,2667,100.0
char_ground_sf_miss,2667,100.0
char_second_sf_miss,2667,100.0
char_nbath_miss,2667,100.0
char_ext_wall_cat,2667,100.0
char_ext_wall_miss,2667,100.0
char_basement_unfin,2667,100.0
char_bsmt_fin_par,2667,100.0
car_bsmt_fin_miss,2667,100.0
char_bsmt_slab,2667,100.0
char_bsmt_cel,2667,100.0
char_no_bsmt,2667,100.0
char_bsmt_miss,2667,100.0
char_bq_lo,2667,100.0
char_gar1_size_miss,2667,100.0
char_gar1_sf_miss,2667,100.0
char_has_pool,2667,100.0
char_bq_avg,2667,100.0
char_floor_miss,2667,100.0
char_bq_blavg,2667,100.0
char_bq_econ,2667,100.0
char_bq_po,2667,100.0
char_bq_exc,2667,100.0
char_fbath_miss,2667,100.0
char_hbath_miss,2667,100.0
char_n_frpl_miss,2667,100.0
char_has_frpl,2667,100.0
char_gar1_cnst_miss,2667,100.0
char_gar1_cat,2667,100.0
char_bq_abavg,2667,100.0
char_bq_lux,2667,100.0
char_bq_fa,2667,100.0
char_bq_go,2667,100.0
char_found_miss,2667,100.0
char_style_miss,2667,100.0
char_roof_material_cat,2667,100.0
char_fuel_typ_miss,2667,100.0
char_roof_miss,2667,100.0
char_heat_cat,2667,100.0
char_depth_sf_miss,2667,100.0
char_heat_miss,2667,100.0
char_frontage_sf_miss,2667,100.0
char_land_sf_miss,2667,100.0
char_bq_miss,2667,100.0
char_bq_ordinal,2667,100.0
CALCULATED_TOTAL_VALUE_SOURCE_CODE,2667,100.0
OWNER_TRANSFER_COMPOSITE_TRANSACTION_ID,2667,100.0
sale_date,2667,100.0
CALCULATED_TOTAL_VALUE,2667,100.0
sale_year,2667,100.0
sale_month,2667,100.0
sale_day,2667,100.0
sale_day_of_week,2667,100.0
sale_day_of_month,2667,100.0
sale_day_of_year,2667,100.0
char_elec_miss,2667,100.0
SALE_YEAR,2667,100.0
char_water_miss,2667,100.0
char_sewer_miss,2667,100.0
char_land_sf,2666,99.96250468691413
tract,2665,99.92500937382827
block_group,2665,99.92500937382827
address,2664,99.8875140607424
CENSUS_ID,2664,99.8875140607424
ASSESSED_TOTAL_VALUE,2663,99.85001874765655
census_pct_graduate_tract,2661,99.77502812148481
census_pct_college_tract,2661,99.77502812148481
census_pct_poverty_tract,2661,99.77502812148481
census_med_per_cap_inc_tract,2661,99.77502812148481
census_pct_married_hh_bg,2661,99.77502812148481
census_pct_single_hh_bg,2661,99.77502812148481
census_pct_high_school_tract,2661,99.77502812148481
census_pct_single_hh_tract,2661,99.77502812148481
census_pct_married_hh_tract,2661,99.77502812148481
census_med_age_tract,2661,99.77502812148481
census_pct_children_tract,2661,99.77502812148481
census_pct_senior_tract,2661,99.77502812148481
census_pct_snap_bg,2661,99.77502812148481
census_pct_renter_occ_bg,2661,99.77502812148481
census_pct_college_bg,2661,99.77502812148481
census_pct_high_school_bg,2661,99.77502812148481
census_med_age_bg,2661,99.77502812148481
census_pct_senior_bg,2661,99.77502812148481
census_pct_graduate_bg,2661,99.77502812148481
census_pct_poverty_bg,2661,99.77502812148481
block_group_id,2661,99.77502812148481
census_med_per_cap_inc_bg,2661,99.77502812148481
census_pct_snap_tract,2661,99.77502812148481
census_unemp_rate_tract,2661,99.77502812148481
census_pct_renter_occ_tract,2661,99.77502812148481
census_med_yr_built_tract,2661,99.77502812148481
census_pct_children_bg,2661,99.77502812148481
tract_id,2661,99.77502812148481
census_unemp_rate_bg,2661,99.77502812148481
census_med_yr_built_bg,2661,99.77502812148481
census_med_hh_inc_bg,2660,99.73753280839895
census_med_hh_inc_tract,2660,99.73753280839895
latitude,2656,99.58755155605549
longitude,2656,99.58755155605549
census_med_rent_tract,2654,99.51256092988376
census_med_rent_bg,2650,99.36257967754031
TAX_YEAR,2648,99.28758905136858
TOTAL_TAX_AMOUNT,2648,99.28758905136858
char_yrblt,2362,88.5639295088114
char_bldg_sf,2336,87.58905136857892
char_gar1_sf,2131,79.90251218597675
char_stories,2066,77.46531683539557
char_fbath,2016,75.59055118110236
char_beds,1885,70.67866516685415
